fold_id,selected_snapshot_kimg,selected_kid50k_full,needed_gan_count_224,generated_count_256,generate_duration_seconds
1,200,0.12342972308397293,110,110,16.22
2,160,0.13577361404895782,149,149,10.14
3,160,0.21294312179088593,90,90,8.03
4,160,0.21209605038166046,119,119,10.35
5,200,0.20076781511306763,137,137,9.74
