class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.989116,0.012838,0.990741,0.007042,0.989879,0.007557
bacilli,0.993476,0.004912,0.992193,0.009444,0.992809,0.005497
