true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.989419,0.010249
cocci,bacilli,0.010581,0.010249
bacilli,cocci,0.00593,0.00378
bacilli,bacilli,0.99407,0.00378
