class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.991524,0.008854,0.992371,0.005137,0.991912,0.003904
bacilli,0.994297,0.003855,0.993609,0.006838,0.993932,0.003007
