cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.992522,0.003108,0.992321,0.003343,0.992363,0.003168
2027,5,0.993786,0.00274,0.993575,0.002671,0.993652,0.002798
2028,5,0.992891,0.004707,0.993072,0.003724,0.99275,0.004777
