class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.922251,0.255248,0.860421,0.324895,0.869737,0.310504
bacilli,0.934,0.141928,0.993136,0.004574,0.956355,0.088851
