class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.990855,0.007289,0.992078,0.005209,0.99146,0.00577
bacilli,0.994403,0.00369,0.993518,0.005205,0.993957,0.004109
