true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.988632,0.006107
cocci,bacilli,0.011368,0.006107
bacilli,cocci,0.00659,0.006971
bacilli,bacilli,0.99341,0.006971
