class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.994858,0.00439,0.99501,0.003513,0.994922,0.001872
bacilli,0.996487,0.002454,0.996351,0.003142,0.996413,0.001331
