class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.993246,0.005318,0.987397,0.011487,0.990263,0.00535
bacilli,0.991211,0.007907,0.995225,0.003824,0.99319,0.003659
