class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.972575,0.027117,0.968596,0.030546,0.970161,0.020499
bacilli,0.978313,0.020572,0.980174,0.020365,0.979032,0.014359
