class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.99055,0.010079,0.985211,0.009515,0.987818,0.006183
bacilli,0.98965,0.006584,0.993283,0.007266,0.991435,0.004388
