class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.977602,0.018305,0.975977,0.020773,0.976534,0.0112
bacilli,0.98332,0.014068,0.983878,0.01377,0.98347,0.007807
