fold_id,selected_snapshot_kimg,selected_kid50k_full,needed_gan_count_224,generated_count_256,generate_duration_seconds
1,200,0.0553397573530674,270,270,25.81
2,200,0.05876568704843521,270,270,20.6
3,160,0.1463191956281662,270,270,20.76
4,160,0.08134381473064423,270,270,20.45
5,200,0.027531282976269722,270,270,15.47
