fold_id,run_dir,latest_snapshot_path,train_duration_seconds
1,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_1,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_1/network-snapshot-000200.pkl,13231.99
2,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_2/00000-fold_2_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_2,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_2/00000-fold_2_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_2/network-snapshot-000200.pkl,13234.0
3,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_3/00000-fold_3_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_3,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_3/00000-fold_3_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_3/network-snapshot-000200.pkl,13180.62
4,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_4/00000-fold_4_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_4,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_4/00000-fold_4_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_4/network-snapshot-000200.pkl,13118.84
5,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_5/00000-fold_5_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_5,checkpoints/39_train_diffusion_gan_make_images_dibas/fold_5/00000-fold_5_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-diffusion_gan_dibas_fold_5/network-snapshot-000200.pkl,13064.94
