class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.98801,0.009619,0.987437,0.008942,0.987668,0.005389
bacilli,0.990639,0.006604,0.990943,0.007402,0.990761,0.004115
