true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.994033,0.00904
cocci,bacilli,0.005967,0.00904
bacilli,cocci,0.003559,0.002256
bacilli,bacilli,0.996441,0.002256
