class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.994977,0.003162,0.994033,0.00904,0.994476,0.004087
bacilli,0.995834,0.006207,0.996441,0.002256,0.996124,0.002781
