fold_id,run_dir,latest_snapshot_path,train_duration_seconds
1,checkpoints/14_train_gan_make_images_dataset2/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color,checkpoints/14_train_gan_make_images_dataset2/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000200.pkl,27437.03
2,checkpoints/14_train_gan_make_images_dataset2/fold_2/00002-fold_2_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color,checkpoints/14_train_gan_make_images_dataset2/fold_2/00002-fold_2_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000200.pkl,25641.23
3,checkpoints/14_train_gan_make_images_dataset2/fold_3/00002-fold_3_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color,checkpoints/14_train_gan_make_images_dataset2/fold_3/00002-fold_3_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000200.pkl,25629.76
4,checkpoints/14_train_gan_make_images_dataset2/fold_4/00001-fold_4_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color,checkpoints/14_train_gan_make_images_dataset2/fold_4/00001-fold_4_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000200.pkl,25535.08
5,checkpoints/14_train_gan_make_images_dataset2/fold_5/00001-fold_5_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color,checkpoints/14_train_gan_make_images_dataset2/fold_5/00001-fold_5_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000200.pkl,25473.0
