run_tag,model_name,model_display_name,training_mode,seed_count,fold_count,run_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1
05_resnet50_baseline_dibas,resnet50,ResNet-50,baseline,3,5,15,0.990858,0.00596,0.990118,0.007422,0.991155,0.004776,0.990118,0.007422,0.990553,0.006217
06_resnet50_gan_dibas,resnet50,ResNet-50,gan,3,5,15,0.994551,0.002009,0.99427,0.002446,0.994509,0.001748,0.99427,0.002446,0.994381,0.002077
07_efficientnetv2s_baseline_dibas,efficientnetv2s,EfficientNetV2-S,baseline,3,5,15,0.995126,0.002448,0.995139,0.002186,0.994844,0.002874,0.995139,0.002186,0.994979,0.002514
08_efficientnetv2s_gan_dibas,efficientnetv2s,EfficientNetV2-S,gan,3,5,15,0.995796,0.001556,0.995681,0.001541,0.995673,0.001794,0.995681,0.001541,0.995668,0.001601
09_convnextv2nano_baseline_dibas,convnextv2nano,ConvNeXtV2-Nano,baseline,3,5,15,0.989645,0.009794,0.989522,0.008354,0.989505,0.010761,0.989522,0.008354,0.989359,0.009945
10_convnextv2nano_gan_dibas,convnextv2nano,ConvNeXtV2-Nano,gan,3,5,15,0.990038,0.004579,0.989468,0.005544,0.99009,0.004057,0.989468,0.005544,0.98972,0.004756
