class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.977139,0.016561,0.964284,0.034133,0.97012,0.0141
bacilli,0.974229,0.023381,0.9827,0.013005,0.97817,0.009139
