cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.976506,0.006006,0.976271,0.006734,0.976005,0.006149
2027,5,0.978786,0.004966,0.977341,0.006535,0.978269,0.005183
2028,5,0.969064,0.017475,0.966863,0.02157,0.96816,0.018349
