true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.961083,0.026828
cocci,bacilli,0.038917,0.026828
bacilli,cocci,0.019846,0.013526
bacilli,bacilli,0.980154,0.013526
