class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.973465,0.017554,0.961083,0.026828,0.9669,0.013328
bacilli,0.971507,0.019133,0.980154,0.013526,0.975631,0.009497
