cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.970181,0.005368,0.968498,0.007133,0.969455,0.005535
2027,5,0.974615,0.012702,0.973667,0.01296,0.974048,0.012983
2028,5,0.971006,0.015025,0.96969,0.017458,0.970293,0.015525
