class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.962211,0.036633,0.967511,0.031556,0.964189,0.023209
bacilli,0.976091,0.022289,0.970378,0.031014,0.972828,0.018566
