class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.992354,0.004672,0.995388,0.002981,0.993858,0.002097
bacilli,0.996547,0.002242,0.994251,0.003557,0.995392,0.001605
