true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.995388,0.002981
cocci,bacilli,0.004612,0.002981
bacilli,cocci,0.005749,0.003557
bacilli,bacilli,0.994251,0.003557
