class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.991032,0.007972,0.995154,0.003117,0.993066,0.003533
bacilli,0.996387,0.00227,0.993212,0.0061,0.994784,0.00271
