class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.988663,0.008117,0.993852,0.005524,0.991232,0.005368
bacilli,0.995401,0.004117,0.991447,0.006194,0.993409,0.004039
