round_id,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count
1,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902
2,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899
3,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944
4,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922
5,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901
