true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.982016,0.008506
cocci,bacilli,0.017984,0.008506
bacilli,cocci,0.024833,0.013972
bacilli,bacilli,0.975167,0.013972
