class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.967568,0.017372,0.982016,0.008506,0.974613,0.007818
bacilli,0.986462,0.006335,0.975167,0.013972,0.980704,0.006256
