cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.99486,0.003535,0.995014,0.003015,0.994709,0.003627
2027,5,0.996328,0.001237,0.99621,0.001511,0.996215,0.001276
2028,5,0.994189,0.001989,0.994193,0.001669,0.994014,0.002043
