class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.993063,0.006214,0.995216,0.00311,0.994124,0.002922
bacilli,0.996626,0.002183,0.995062,0.004497,0.995835,0.002106
