class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.994914,0.003489,0.990304,0.009974,0.992567,0.004353
bacilli,0.993231,0.006851,0.996405,0.002482,0.994799,0.002961
