cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path,run_tag
2026,2026,1,resnet50,ResNet-50,baseline,10,0.002855,1.0,129.93,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1884,1400,7,18,0.992445,0.995025,0.990536,0.987306,0.995025,0.99115,0.996298,0.990536,0.993409,0.991802,0.992781,0.99228,0.992781,checkpoints/15_resnet50_baseline_dataset2/seed_2026_round_1_final.pth,results/15_resnet50_baseline_dataset2/seed_2026_round_1_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2026_round_1_training_history.csv,15_resnet50_baseline_dataset2
2026,2026,2,resnet50,ResNet-50,baseline,10,0.002602,1.0,106.71,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1874,1433,10,25,0.989527,0.99307,0.986835,0.982853,0.99307,0.987935,0.994692,0.986835,0.990748,0.988773,0.989953,0.989342,0.989953,checkpoints/15_resnet50_baseline_dataset2/seed_2026_round_2_final.pth,results/15_resnet50_baseline_dataset2/seed_2026_round_2_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2026_round_2_training_history.csv,15_resnet50_baseline_dataset2
2026,2026,3,resnet50,ResNet-50,baseline,10,0.001791,1.0,76.75,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1932,1419,10,12,0.993478,0.993002,0.993827,0.991614,0.993002,0.992308,0.994851,0.993827,0.994339,0.993232,0.993415,0.993323,0.993415,checkpoints/15_resnet50_baseline_dataset2/seed_2026_round_3_final.pth,results/15_resnet50_baseline_dataset2/seed_2026_round_3_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2026_round_3_training_history.csv,15_resnet50_baseline_dataset2
2026,2026,4,resnet50,ResNet-50,baseline,10,0.010364,0.997564,77.95,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1872,1425,11,50,0.981834,0.99234,0.973985,0.966102,0.99234,0.979045,0.994158,0.973985,0.983968,0.98013,0.983163,0.981507,0.983163,checkpoints/15_resnet50_baseline_dataset2/seed_2026_round_4_final.pth,results/15_resnet50_baseline_dataset2/seed_2026_round_4_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2026_round_4_training_history.csv,15_resnet50_baseline_dataset2
2026,2026,5,resnet50,ResNet-50,baseline,10,0.001672,1.0,80.61,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1900,1415,18,1,0.994301,0.987439,0.999474,0.999294,0.987439,0.993331,0.990615,0.999474,0.995025,0.994955,0.993456,0.994178,0.993456,checkpoints/15_resnet50_baseline_dataset2/seed_2026_round_5_final.pth,results/15_resnet50_baseline_dataset2/seed_2026_round_5_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2026_round_5_training_history.csv,15_resnet50_baseline_dataset2
2027,2027,1,resnet50,ResNet-50,baseline,10,0.004895,0.998851,81.62,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1899,1387,20,3,0.993049,0.985785,0.998423,0.997842,0.985785,0.991777,0.989578,0.998423,0.993981,0.99371,0.992104,0.992879,0.992104,checkpoints/15_resnet50_baseline_dataset2/seed_2027_round_1_final.pth,results/15_resnet50_baseline_dataset2/seed_2027_round_1_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2027_round_1_training_history.csv,15_resnet50_baseline_dataset2
2027,2027,2,resnet50,ResNet-50,baseline,10,0.001577,1.0,79.8,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1879,1431,12,20,0.990425,0.991684,0.989468,0.986216,0.991684,0.988943,0.993654,0.989468,0.991557,0.989935,0.990576,0.99025,0.990576,checkpoints/15_resnet50_baseline_dataset2/seed_2027_round_2_final.pth,results/15_resnet50_baseline_dataset2/seed_2027_round_2_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2027_round_2_training_history.csv,15_resnet50_baseline_dataset2
2027,2027,3,resnet50,ResNet-50,baseline,10,0.004016,1.0,76.92,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1924,1418,11,20,0.990809,0.992302,0.989712,0.986092,0.992302,0.989187,0.994315,0.989712,0.992008,0.990204,0.991007,0.990598,0.991007,checkpoints/15_resnet50_baseline_dataset2/seed_2027_round_3_final.pth,results/15_resnet50_baseline_dataset2/seed_2027_round_3_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2027_round_3_training_history.csv,15_resnet50_baseline_dataset2
2027,2027,4,resnet50,ResNet-50,baseline,10,0.018011,0.995128,78.08,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1888,1434,2,34,0.989279,0.998607,0.98231,0.976839,0.998607,0.987603,0.998942,0.98231,0.990556,0.987891,0.990459,0.98908,0.990459,checkpoints/15_resnet50_baseline_dataset2/seed_2027_round_4_final.pth,results/15_resnet50_baseline_dataset2/seed_2027_round_4_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2027_round_4_training_history.csv,15_resnet50_baseline_dataset2
2027,2027,5,resnet50,ResNet-50,baseline,10,0.007439,0.998817,79.73,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1889,1422,11,12,0.993101,0.992324,0.993688,0.991632,0.992324,0.991978,0.994211,0.993688,0.993949,0.992921,0.993006,0.992963,0.993006,checkpoints/15_resnet50_baseline_dataset2/seed_2027_round_5_final.pth,results/15_resnet50_baseline_dataset2/seed_2027_round_5_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2027_round_5_training_history.csv,15_resnet50_baseline_dataset2
2028,2028,1,resnet50,ResNet-50,baseline,10,0.00211,1.0,81.56,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1897,1397,10,5,0.995467,0.992893,0.997371,0.996434,0.992893,0.99466,0.994756,0.997371,0.996062,0.995595,0.995132,0.995361,0.995132,checkpoints/15_resnet50_baseline_dataset2/seed_2028_round_1_final.pth,results/15_resnet50_baseline_dataset2/seed_2028_round_1_predictions.csv,results/15_resnet50_baseline_dataset2/seed_2028_round_1_training_history.csv,15_resnet50_baseline_dataset2
