class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.98423,0.027969,0.993468,0.002456,0.988639,0.014897
bacilli,0.995083,0.001853,0.987426,0.023372,0.99111,0.012391
