cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.986176,0.021411,0.987188,0.018864,0.986016,0.021556
2027,5,0.989133,0.011344,0.989591,0.010233,0.988935,0.011508
2028,5,0.994788,0.002342,0.994561,0.00227,0.994674,0.002397
