class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.991152,0.007253,0.995571,0.00166,0.99334,0.003265
bacilli,0.996685,0.00123,0.993309,0.005555,0.994985,0.00251
