class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.992344,0.00636,0.991152,0.005498,0.991729,0.003906
bacilli,0.993776,0.00385,0.994572,0.004581,0.994164,0.002764
