cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.990623,0.0052,0.991173,0.00418,0.990445,0.005272
2027,5,0.993075,0.004511,0.992931,0.004427,0.992926,0.004605
2028,5,0.993488,0.003405,0.993661,0.002675,0.993357,0.003458
