class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.988509,0.010829,0.993897,0.003569,0.991156,0.004938
bacilli,0.995433,0.002677,0.99128,0.008417,0.993329,0.003822
