fold_id,original_selected_kimg,original_selected_kid50k_full,sparse_selected_kimg,sparse_selected_kid50k_full,kid_delta_sparse_minus_original
1,200,0.07881698654288799,200,0.07881698654288799,0.0
2,168,0.2010273780479305,160,0.2154501705128314,0.014422792464900913
3,168,0.1302550630755842,160,0.14279364538629805,0.012538582310713836
4,128,0.12376726659477659,200,0.15193709626960605,0.028169829674829464
5,152,0.15453909295231508,160,0.16385719805105184,0.009318105098736762
