class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.985056,0.012867,0.961214,0.038731,0.972481,0.019338
bacilli,0.973793,0.024982,0.98947,0.009568,0.981346,0.011895
