class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.992119,0.006334,0.985828,0.016749,0.98886,0.007485
bacilli,0.99019,0.011296,0.994408,0.004541,0.992246,0.004951
