cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.987005,0.009078,0.985478,0.011508,0.98654,0.009491
2027,5,0.991954,0.002949,0.991447,0.003541,0.991701,0.003047
2028,5,0.993614,0.001916,0.99343,0.002238,0.993418,0.001974
