class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.986844,0.023375,0.988812,0.008855,0.987632,0.011181
bacilli,0.992166,0.006119,0.990232,0.018287,0.991086,0.008711
