class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.9797,0.043458,0.962517,0.069687,0.969127,0.043902
bacilli,0.974584,0.044619,0.983218,0.039389,0.977897,0.030366
