cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.995332,0.001188,0.995167,0.001116,0.99523,0.001218
2027,5,0.992894,0.004601,0.992914,0.003799,0.99275,0.004674
2028,5,0.995393,0.001625,0.995212,0.001621,0.995292,0.001666
