class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.993623,0.007486,0.993661,0.002567,0.993623,0.003384
bacilli,0.995272,0.0019,0.995201,0.005765,0.995225,0.002604
