fold_id,run_dir,latest_snapshot_path,train_duration_seconds
1,checkpoints/25_train_stylegan3_make_images_dataset2/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192,checkpoints/25_train_stylegan3_make_images_dataset2/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,53150.28
2,checkpoints/25_train_stylegan3_make_images_dataset2/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192,checkpoints/25_train_stylegan3_make_images_dataset2/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,51249.08
3,checkpoints/25_train_stylegan3_make_images_dataset2/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192,checkpoints/25_train_stylegan3_make_images_dataset2/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,52599.79
4,checkpoints/25_train_stylegan3_make_images_dataset2/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192,checkpoints/25_train_stylegan3_make_images_dataset2/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,51985.41
5,checkpoints/25_train_stylegan3_make_images_dataset2/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192,checkpoints/25_train_stylegan3_make_images_dataset2/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,50652.78
