class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.983047,0.019676,0.965304,0.092469,0.972157,0.060808
bacilli,0.978744,0.052834,0.988852,0.011941,0.983146,0.031944
