class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.97429,0.03554,0.9634,0.035288,0.968019,0.022717
bacilli,0.975009,0.022654,0.980864,0.028233,0.977528,0.01639
