cnn_seed,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
2026,5,0.990317,0.005074,0.990554,0.004375,0.990126,0.005152
2027,5,0.991333,0.001687,0.99143,0.001094,0.991154,0.001709
2028,5,0.992173,0.003363,0.992463,0.002654,0.992019,0.003411
