class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.986845,0.009519,0.99295,0.003397,0.989854,0.003953
bacilli,0.994726,0.002505,0.990014,0.007343,0.992345,0.003086
