fold_id,selected_snapshot_kimg,selected_kid50k_full,needed_gan_count_224,generated_count_256,generate_duration_seconds
1,160,0.06058334995483027,270,270,25.8
2,200,0.07207675199072865,270,270,17.33
3,200,0.029699960272640116,270,270,21.82
4,200,0.061661528483412685,270,270,24.98
5,200,0.035032638656697625,270,270,39.62
