fold_id,original_selected_kimg,original_selected_kid50k_full,sparse_selected_kimg,sparse_selected_kid50k_full,kid_delta_sparse_minus_original
1,184,0.04475960562822578,160,0.06058334995483027,0.015823744326604494
2,192,0.07103197695122218,200,0.07207675199072865,0.0010447750395064653
3,184,0.02773546723339461,200,0.029699960272640116,0.0019644930392455073
4,168,0.052823473466993946,200,0.061661528483412685,0.008838055016418739
5,200,0.035032638656697625,200,0.035032638656697625,0.0
