class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.989825,0.007435,0.986163,0.012858,0.987915,0.005673
bacilli,0.990355,0.00881,0.992774,0.005401,0.991526,0.003841
