class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cocci,0.992834,0.005601,0.995437,0.002509,0.99412,0.002131
bacilli,0.996586,0.001881,0.994612,0.004261,0.99559,0.001631
