true_class,predicted_class,mean_row_rate,std_row_rate
cocci,cocci,0.995437,0.002509
cocci,bacilli,0.004563,0.002509
bacilli,cocci,0.005388,0.004261
bacilli,bacilli,0.994612,0.004261
